Abbreviation	Subsystem
3HAD160	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
13DAMPPabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
13DAMPPtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
15DAPabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
1P2CBXLCYCL	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Dipeptide+AF8-Metabolism
1P2CBXLR	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-D+AF8-Amino+AF8-acids+AF8-Metabolism
1PPDCRc	S+AF8-Lysine+AF8-Metabolism
1PQQS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXwBf-Pyrroloquinoline+AF8-quinone+AF8-biosynthesis
1PY4h3cAH	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Hydroxy+AF8-proline+AF8-metabolism
23CTI1	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
23CTI2	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
23CTI3	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
24DECOAR	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
25DKGLCNt2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
25DKGLCNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
26DAHtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
2AACLPGT160	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPGT161	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPGT180	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPGT181	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPPEAT160	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPPEAT161	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPPEAT180	S+AF8-Glycerophospholipid+AF8-Metabolism
2AACLPPEAT181	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPE160tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPE161tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPE180tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPE181tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPG160tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPG161tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPG180tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2AGPG181tipp	S+AF8-Glycerophospholipid+AF8-Metabolism
2DHGLCK	S+AF8-Glycolysis
2DHGLCNkt+AF8-tpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
2DHGLCNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
2PQQS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXwBf-Pyrroloquinoline+AF8-quinone+AF8-biosynthesis
34DHCINMtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
