PG.ProteinGroups	STM_ID	ΔlppA early	ΔlppA late	ΔlppB early	ΔlppB late	WT early	WT late	WT early vs ΔlppA early	WT early vs ΔlppB early	WT late vs ΔlppA late	WT late vs ΔlppB late	ΔlppA early vs ΔlppB early	ΔlppA late vs ΔlppB late
A0A0H3NXF6	PSLT046	329714.17578125	388140.984375	273994.8359375	239154.53125	313443.453125	259518.135416667	-0.07301071918928784	0.19405649406397632	-0.5807454182049319	0.11789223298365692	0.2670672132532644	0.6986376511885888
A0A0H3NCF4	STM0002	9404713.5	4214047.9375	11159425.5	8216152.0	12311156.0	9036185.83333333	0.3885103351254966	0.14170347770422828	1.100507214895017	0.13725106875578447	-0.24680685742126832	-0.9632561461392326
A0A0H3N7G7	STM0003	2631184.0625	2351863.15625	2977679.875	2703050.5	3326831.125	2849938.58333333	0.33843646000900585	0.15995997397681813	0.27712671024403246	0.07634236387335118	-0.17847648603218774	-0.20078434637068124
A0A0H3NGW8	STM0004	7080350.0	6822767.875	7850062.75	6846878.75	8502477.0	7054426.5	0.26406252009702846	0.11517901198325603	0.04817166797421294	0.04308233731030828	-0.14888350811377254	-0.0050893306639045125
A0A0H3N8Q7	STM0005	374866.09375	526476.875	377711.6015625	453135.1640625	392189.8515625	426547.625	0.06517686309280692	0.054267106935020376	-0.3036633329470701	-0.08723462011708848	-0.01090975615778653	0.21642871282998147
A0A0H3NCF8	STM0007	9708596.375	12569665.0	6561396.625	6332950.625	6788969.5	6210342.0	-0.5160701284746129	0.04918967176922375	-1.0172015761918707	-0.02820511241553709	0.5652598002438367	0.9889964637763337
A0A0H3N7H3	STM0008	242762.578125	271146.16796875	224287.04296875	223156.65625	201605.3203125	221525.03125	-0.2680123354610718	-0.15381256684890054	-0.291601055794063	-0.010587114001048874	0.11419976861217115	0.281013941793014
A0A0H3NCG3	STM0012	5452368.125	8223456.25	7839623.5	7928368.25	8118661.875	7964897.66666667	0.5743589895363516	0.050457590545417375	-0.04608904798069571	0.0066318529306357045	-0.5239013989909342	0.05272090091133133
A0A0H3N7I0	STM0013	1092872.90625	1405924.4375	1617365.21875	1594462.71875	1659027.40625	1626228.20833333	0.6022120839858947	0.03669222713195466	0.21001066704447385	0.02845935945297758	-0.5655198568539399	-0.18155130759149643
A0A0H3N7J9	STM0028	47189.091796875	43199.392578125	50419.5908203125	37786.6547851562	42974.4541015625	45430.1744791667	-0.13497409210836087	-0.23050509659888224	0.07263981926493732	0.26577404232249485	-0.09553100449052153	0.1931342230575574
A0A0H3N8T0	STM0029	4743.16485595703	10137.4862670898	4351.72326660156	4939.33996582031	4680.38592529297	4360.12410481771	-0.019222518976000927	0.10504067728583219	-1.2172588550833598	-0.17994907034179125	0.124263196261833	1.0373097847415689
A0A0H3N7K5	STM0032	5111.64178466797	7198.34887695313	3993.53430175781	3365.77880859375	3656.11798095703	4119.61694335937	-0.4834741120259726	-0.12735347937307911	-0.8051558292440625	0.29156982761414235	0.3561206326528935	1.0967256568582047
A0A0H3N8T8	STM0039	103614.80859375	58810.90625	106003.173828125	67556.0146484375	184007.412109375	76267.9986979167	0.8285336742368307	0.7956564204973824	0.37499412141063926	0.17499362205021293	-0.032877253739448345	-0.20000049936042635
A0A0H3N7D0	STM0040	38447.791015625	33519.9165039062	48346.2431640625	55228.76953125	48103.3056640625	57184.2916666667	0.3232353277720481	-0.007267747168528715	0.7706003425558673	0.05019891267204245	-0.33050307494057685	-0.7204014298838248
A0A0H3NCJ0	STM0041	119540.75	76323.880859375	56567.4755859375	61381.8974609375	56491.716796875	70375.8411458333	-1.0813912490875306	-0.0019334446556550974	-0.11705426961293973	0.19726701702913324	1.0794578044318752	0.314321286642073
A0A0H3NH08	STM0043	1299966.0625	1223626.9375	2845904.1875	2657316.875	2828150.5	2537757.0	1.1213849350936946	-0.009028196558047118	1.0523901596629097	-0.06641634183104529	-1.1304131316517416	-1.1188065014939552
A0A0H3N7D5	STM0045	316951.1953125	226044.125	408095.9609375	373958.6875	431594.03125	394611.604166667	0.44541420432996925	0.08076648131448494	0.8038289595944202	0.07755448193008425	-0.3646477230154841	-0.726274477664336
A0A0H3NCJ4	STM0046	847971.71875	613248.21875	1052684.28125	1120572.0625	1114515.1875	1152935.875	0.39432822188535793	0.08234346502019695	0.9107692307134221	0.04107684450905467	-0.311984756865161	-0.8696923862043673
A0A0H3NH14	STM0048	173588.1484375	219039.13671875	164544.7109375	182464.10546875	160975.65234375	201396.09375	-0.10882595612057591	-0.031637157348568395	-0.12115296443409496	0.14242301789350037	0.07718879877200738	0.26357598232759544
A0A0H3N8U8	STM0049	180598.9765625	241356.6015625	243179.71484375	253196.16796875	250520.8984375	245034.802083333	0.4721412407454408	0.04290806847629928	0.021820380745126256	-0.0472689017475363	-0.42923317226914165	-0.06908928249266233
A0A0H3NCJ8	STM0051	531500.3828125	703760.875	287197.62890625	369789.28125	312067.296875	346659.03125	-0.768213553055304	0.11981333943131073	-1.0215679644095876	-0.09318606076431801	0.888026892486615	0.9283819036452695
A0A0H3N7N0	STM0052	24698.7041015625	35646.9697265625	16560.1784667969	25541.1870117188	15480.5166015625	26097.1243489583	-0.6739817314955935	-0.09726460407206299	-0.4498885969361449	0.031065269487541177	0.5767171274235304	0.48095386642368615
A0A0H3N8V4	STM0055	27938.5815429687	19327.6083984375	37103.517578125	33848.8930664063	31528.6953125	29916.9466145833	0.1744066949667007	-0.2348904960632913	0.6302998090382061	-0.17814571695534365	-0.40929719102999196	-0.8084455259935498
A0A0H3NH29	STM0064	1546848.0625	1704261.90625	1628140.59375	1971294.09375	1777370.75	1975661.29166667	0.20041315463578388	0.1265193661252386	0.21318856980213047	0.003192606316986161	-0.0738937885105451	-0.20999596348514432
A0A0H3N8W6	STM0066	2058799.5625	2581539.75	5654563.125	6763161.25	6072264.5	6675734.16666667	1.5604312529741322	0.10281906903408337	1.3706946939361406	-0.018771244966204206	-1.4576121839400487	-1.389465938902345
A0A0H3N7F3	STM0067	1354621.03125	943504.140625	3855745.1875	3845628.0625	4034263.5	3901283.0	1.5744160177062636	0.06529560526980915	2.0478479012943516	0.02072941927134156	-1.5091204124364543	-2.02711848202301
A0A0H3NH35	STM0070	124891.88671875	188165.07421875	90411.451171875	102869.7578125	84606.32421875	111677.75	-0.5618423468353787	-0.09574000344424193	-0.75265709013829	0.11852286705234358	0.4661023433911367	0.8711799571906336
A0A0H3N7S7	STM0080	27079.3891601562	29908.5864257813	14025.2951660156	18580.9411621094	12271.2766113281	17351.5725911458	-1.141909851921742	-0.19274578909903767	-0.7854933040588792	-0.09875715729477685	0.9491640628227046	0.6867361467641023
A0A0H3NH44	STM0081	155958.15234375	135652.912109375	40963.673828125	28141.1870117187	51240.4677734375	27609.0755208333	-1.6058034169630724	0.32293853679874357	-2.2967055330359667	-0.027540602926240783	1.928741953761816	2.269164930109726
A0A0H3N8Y3	STM0082	602254.328125	1307250.03125	191506.703125	208348.33984375	202778.39453125	205864.838541667	-1.5704689110644694	0.08250905512118056	-2.666765759067186	-0.017300163945436375	1.65297796618565	2.6494655951217494
